Meaning,Morality and Virtue,Morals and Values,Social Values,Social Values,Peace,A world at peace.
Meaning,Morality and Virtue,Morals and Values,Social Values,Social Values,Equality,Equality.
Meaning,Morality and Virtue,Morals and Values,Social Values,Social Values,Justice,Justice and fairness.
Meaning,Morality and Virtue,Morals and Values,Social Values,Social Values,CommitCause,Being committed to a cause (e.g., environment, anti crime, anti drugs).
Meaning,Morality and Virtue,Morals and Values,Personal Morals,Personal Morals,Ethical,Being an ethical person.
Meaning,Morality and Virtue,Morals and Values,Personal Morals,Personal Morals,Honest,Being honest.
Meaning,Morality and Virtue,Morals and Values,Personal Morals,Personal Morals,Humble,Being humble.
Meaning,Morality and Virtue,Morals and Values,Personal Morals,Personal Morals,FrmVals,Having firm values.
Meaning,Morality and Virtue,Morals and Values,Personal Morals,Personal Morals,Loyal,Being loyal.
Meaning,Morality and Virtue,Virtues,Help Others,Social Giving,Charitable,Being charitable, helping the needy.
Meaning,Morality and Virtue,Virtues,Help Others,Social Giving,HelpOthrs,Helping others.
Meaning,Morality and Virtue,Virtues,Help Others,Social Giving,Selfless,To be selfless, to put others first.
Meaning,Morality and Virtue,Virtues,Help Others,Interpersonal Care,Empathy,To have empathy for what others are feeling.
Meaning,Morality and Virtue,Virtues,Help Others,Interpersonal Care,ListenOthrs,To listen to others.
Meaning,Morality and Virtue,Virtues,Help Others,Interpersonal Care,PlsOthrs,To make others happy or to please others.
Meaning,Morality and Virtue,Virtues,Highly Regarded,Respected,Respected,Being respected by others.
Meaning,Morality and Virtue,Virtues,Highly Regarded,Respected,OthrsTrustU,Having other people trust you.
Meaning,Morality and Virtue,Virtues,Highly Regarded,Inspiring,InspirOthrs,Inspiring others.
Meaning,Morality and Virtue,Virtues,Highly Regarded,Inspiring,TchOthrs,Teaching others.
Meaning,Morality and Virtue,Virtues,Highly Regarded,Inspiring,SetGoodEx,Setting good examples for others.
Meaning,Religion & Spirituality,Religion & Spirituality,Salvation,Achieving salvation.
Meaning,Religion & Spirituality,Religion & Spirituality,Religion & Spirituality,Religion & Spirituality,ReligFaith,Maintaining religious faith.
Meaning,Religion & Spirituality,Religion & Spirituality,Religion & Spirituality,Religion & Spirituality,PlsGod,Pleasing God.
Meaning,Religion & Spirituality,Religion & Spirituality,Religion & Spirituality,Religion & Spirituality,PracReligTrad,Practicing religious traditions.
Meaning,Religion & Spirituality,Religion & Spirituality,Religion & Spirituality,Religion & Spirituality,GrwingSpirit,Growing spiritually.
Meaning,Religion & Spirituality,Religion & Spirituality,Religion & Spirituality,Religion & Spirituality,AvImpure,Avoiding impure acts.
Meaning,Religion & Spirituality,Religion & Spirituality,Wisdom & Serenity,Wisdom & Serenity,Harmony,Achieving harmony and oneness (with self and the universe).
Meaning,Self-Actualization,Self-fulfill,Wisdom & Serenity,Wisdom & Serenity,HigherMeaning,Finding higher meaning in life.
